

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
     Power:  0.93120E+07


                         Increment number  41
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.48E+01  0.22E-04  0.98E+00
              2      0.11E-02  0.26E+01  0.20E-04  0.98E+00
              3      0.10E-02  0.24E+01  0.18E-04  0.98E+00
              4      0.98E-03  0.22E+01  0.17E-04  0.98E+00

     Power:  0.95452E+07


                         Increment number  42
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.16E+02  0.48E-04  0.98E+00
              2      0.12E-02  0.29E+01  0.22E-04  0.98E+00
              3      0.11E-02  0.27E+01  0.19E-04  0.98E+00
              4      0.11E-02  0.26E+01  0.17E-04  0.98E+00
              5      0.10E-02  0.24E+01  0.17E-04  0.98E+00
              6      0.97E-03  0.23E+01  0.16E-04  0.98E+00

     Power:  0.97780E+07


                         Increment number  43
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.13E-02  0.52E+02  0.14E-03  0.97E+00
              2      0.12E-02  0.34E+01  0.33E-04  0.98E+00
              3      0.12E-02  0.29E+01  0.21E-04  0.98E+00
              4      0.11E-02  0.27E+01  0.20E-04  0.98E+00
              5      0.10E-02  0.25E+01  0.19E-04  0.98E+00
              6      0.99E-03  0.24E+01  0.18E-04  0.98E+00

     Power:  0.10010E+08


                         Increment number  44
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.13E-02  0.16E+03  0.40E-03  0.97E+00
              2      0.13E-02  0.65E+01  0.70E-04  0.98E+00
              3      0.12E-02  0.29E+01  0.23E-04  0.98E+00
              4      0.11E-02  0.27E+01  0.21E-04  0.98E+00
              5      0.11E-02  0.25E+01  0.19E-04  0.98E+00
              6      0.10E-02  0.23E+01  0.18E-04  0.98E+00

     Power:  0.10238E+08


                         Increment number  45
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.14E-02  0.44E+03  0.24E-04  0.97E+00
              2      0.13E-02  0.14E+02  0.18E-03  0.97E+00
              3      0.12E-02  0.32E+01  0.22E-04  0.98E+00
              4      0.12E-02  0.28E+01  0.18E-04  0.98E+00
              5      0.11E-02  0.26E+01  0.17E-04  0.98E+00
              6      0.11E-02  0.25E+01  0.16E-04  0.98E+00
              7      0.10E-02  0.23E+01  0.15E-04  0.98E+00
              8      0.96E-03  0.22E+01  0.14E-04  0.98E+00

     Power:  0.10458E+08


                         Increment number  46
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.22E-02  0.10E+04  0.13E-03  0.96E+00
              2      0.14E-02  0.51E+02  0.36E-03  0.97E+00
              3      0.13E-02  0.62E+01  0.38E-04  0.98E+00
              4      0.12E-02  0.31E+01  0.19E-04  0.98E+00
              5      0.11E-02  0.29E+01  0.18E-04  0.98E+00
              6      0.11E-02  0.27E+01  0.17E-04  0.98E+00
              7      0.10E-02  0.25E+01  0.16E-04  0.98E+00
              8      0.96E-03  0.24E+01  0.15E-04  0.98E+00

     Power:  0.10655E+08


                         Increment number  47
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.39E-02  0.18E+04  0.41E-03  0.93E+00
              2      0.14E-02  0.15E+03  0.52E-03  0.97E+00
              3      0.12E-02  0.12E+02  0.66E-04  0.98E+00
              4      0.11E-02  0.30E+01  0.23E-04  0.98E+00
              5      0.10E-02  0.28E+01  0.18E-04  0.98E+00
              6      0.96E-03  0.26E+01  0.17E-04  0.98E+00

     Power:  0.10814E+08


                         Increment number  48
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.47E-02  0.21E+04  0.65E-03  0.91E+00
              2      0.15E-02  0.21E+03  0.51E-03  0.97E+00
              3      0.11E-02  0.15E+02  0.78E-04  0.98E+00
              4      0.10E-02  0.29E+01  0.23E-04  0.98E+00
              5      0.96E-03  0.26E+01  0.16E-04  0.98E+00

     Power:  0.10927E+08


                         Increment number  49
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.39E-02  0.17E+04  0.53E-03  0.93E+00
              2      0.14E-02  0.15E+03  0.37E-03  0.97E+00
              3      0.11E-02  0.13E+02  0.62E-04  0.98E+00
              4      0.10E-02  0.30E+01  0.19E-04  0.98E+00
